artist_id,artist_name,best_brand_category,total_reach,primary_market,secondary_market,primary_platform,audience_fit_score,data_confidence,proxy_pct,firstparty_pct,audience_summary,llm_status,generated_at
ART_005,J Balvin,Fashion,16990487,MX,CO,Spotify,50.0,HIGH,50.0,50.0,"The primary audience in MX consists of Emerging Reggaeton Fans aged 18–34 with a 58% female and 42% male gender split, primarily active on Spotify, reaching an estimated 11,220,133 listeners. This audience aligns strongly with the Fashion brand category, supported by an audience fit score of 50.0, with the 18–34 demographic's affinity for street culture and urban identity making them a receptive target for fashion activations. Data confidence is HIGH, reflecting 50% first-party data coverage, which provides a reliable foundation for campaign planning though the remaining 50% proxy data should be noted when projecting precision-level outcomes.",ok,2026-07-16T06:35:24+00:00
ART_014,Omar Courtz,Beverages,2621711,US-Latin,CL,Spotify,72.5,HIGH,50.0,50.0,"The primary audience is located in the US-Latin market, composed of Core Reggaeton Fans aged 25-34 with a 59% female and 41% male gender split, primarily active on Spotify, reaching an estimated 1,573,027 listeners. This audience aligns strongly with the Beverages brand category, supported by an audience fit score of 72.5, with the 25-34 demographic and activation pillars around urban celebration culture and youth empowerment moments reflecting high relevance for beverage brand engagement. Data confidence is HIGH, reflecting 50% first-party data coverage, meaning the primary segment figures are grounded in direct platform data and can be relied upon for campaign planning purposes.",ok,2026-07-16T06:35:24+00:00
ART_013,Quevedo,Tech,9972008,MX,ES,Spotify,87.5,LOW,100.0,0.0,"The primary audience in MX is the Emerging Trap Fans segment, aged 25–34 with an even 50/50 gender split, primarily active on Spotify, with an estimated reach of 7,756,006. This audience aligns strongly with the Tech brand category, reflected in an audience fit score of 87.5, and the 25–34 age demographic is well-positioned for tech adoption messaging anchored in youth-driven digital innovation. Note: audience data is proxy-estimated only — first-party validation recommended before campaign commitment.",ok,2026-07-16T06:35:24+00:00
ART_004,Karol G,Fashion,12410426,CO,PE,Spotify,47.5,HIGH,50.0,50.0,"The primary audience in Colombia is the Core Reggaeton Fans segment, ages 18–34 with a 53% female and 47% male gender split, concentrated on Spotify, with an estimated reach of 9,712,508. This audience aligns well with the Fashion brand category, supported by an audience fit score of 47.5 and a predominantly 18–34 demographic whose identity is anchored in urban style and self-expression — key activation pillars present in the data. Data confidence is HIGH, reflecting 50% first-party data coverage, meaning the audience signals carry meaningful direct validation and are suitable for commercial partnership planning.",ok,2026-07-16T06:35:24+00:00
ART_002,Bad Bunny,Fashion,25385440,CO,US-Latin,Spotify,78.5,LOW,100.0,0.0,"The primary audience in the CO market is the Emerging Reggaeton Fans segment, aged 18-24 with a 58% female and 42% male gender split, primarily on Spotify, representing an estimated reach of 15,231,264. This audience aligns strongly with the Fashion brand category, reflected in the audience_fit_score of 78.5, driven by a young, style-conscious demographic whose gender skew and cultural identity map closely to fashion-forward consumer behavior. Note: audience data is proxy-estimated only — first-party validation recommended before campaign commitment.",ok,2026-07-16T06:35:24+00:00
ART_007,Ryan Castro,Fashion,5506786,CO,ES,Spotify,50.0,HIGH,50.0,50.0,"The primary audience in Colombia consists of 18–34 year olds with a 64% female and 36% male gender split, primarily active on Spotify, reaching an estimated 3,540,077 fans within the Core Pop Urbano Fans segment. This audience aligns well with the Fashion brand category, supported by an audience fit score of 50.0 and activation pillars such as 'Style as social justice' and 'Rise through empowerment,' which resonate strongly with style-conscious, values-driven young adults in this demographic. Data confidence is HIGH, reflecting 50% first-party data coverage, which means campaign targeting assumptions carry meaningful empirical grounding and are suitable for brand partnership planning.",ok,2026-07-16T06:35:24+00:00
ART_001,Peso Pluma,Tech,40789614,MX,US-Latin,YouTube,100.0,HIGH,50.0,50.0,"The primary audience in Mexico is composed of Core Corridos Tumbados Fans aged 18-24, skewing 62% male and 38% female, concentrated on YouTube, with an estimated reach of 30,375,245. This audience achieves a perfect audience fit score of 100.0 against the Tech brand category, driven by a youth-dominant demographic that aligns strongly with tech adoption patterns and digital-native consumption behaviors. Data confidence is HIGH, reflecting 50% first-party data coverage, meaning findings are grounded in directly observed audience signals and are suitable for campaign commitment.",ok,2026-07-16T06:35:24+00:00
ART_010,El Bogueto,Tech,4334002,AR,CL,YouTube,87.5,LOW,100.0,0.0,"The primary audience in Argentina consists of Core Urbano Latino Fans aged 25–34 with an even 50/50 gender split, primarily reached via YouTube, with an estimated reach of 2,826,523. This audience aligns strongly with the Tech brand category, reflected in an audience fit score of 87.5, supported by activation pillars such as Urban tech identity and Youth-driven digital pride that resonate with the 25–34 demographic's digital engagement behaviors. Note: audience data is proxy-estimated only — first-party validation recommended before campaign commitment.",ok,2026-07-16T06:35:24+00:00
ART_012,Blessd,Fashion,4784453,CO,US-Latin,Spotify,80.0,LOW,100.0,0.0,"The primary audience in Colombia consists of Core Reggaeton Fans aged 18–24 with a 55% female / 45% male gender split, concentrated on Spotify, with an estimated reach of 2,870,672. This segment aligns strongly with the Fashion brand category, supported by an audience fit score of 80.0 and a young, style-conscious demographic whose identity is shaped by street culture authenticity and urban expression — activation pillars directly relevant to fashion marketing. Note: audience data is proxy-estimated only — first-party validation recommended before campaign commitment.",ok,2026-07-16T06:35:24+00:00
ART_020,Herencia De Grandes,Beverages,5486130,MX,US-Latin,TikTok,57.5,LOW,100.0,0.0,"The primary audience is located in Mexico, comprised of Core Banda Fans aged 25–44 with a near-even gender split (48% female, 52% male), concentrated on TikTok and representing an estimated reach of 4,085,416. This audience aligns with the Beverages brand category at an audience fit score of 57.5, supported by activation pillars of authentic regional celebration and festive cultural heritage that are well-suited to beverage brand occasions among adults in this demographic. Note: audience data is proxy-estimated only — first-party validation recommended before campaign commitment.",ok,2026-07-16T06:35:24+00:00
