artist_id,artist_name,brand_category,reference_budget,conservative_roi,base_roi,optimistic_roi,base_revenue,base_conversions,base_reach,base_brand_lift,recommended_scenario,assumption_1,assumption_2,assumption_3,investment_narrative,risk_flag,llm_status,generated_at
ART_005,J Balvin,Fashion,150000,1.3007,1.8582,2.9916,278730.0,7536.3,9684577,13.33,optimistic,"J Balvin's current cross-platform audience engagement rates remain consistent with the historical baseline conversion rate of 5.02% used to project 10,550 conversions in the optimistic scenario.",The Fashion brand's campaign creative and product-market fit with J Balvin's primary market (MX) and reggaeton audience are strong enough to sustain the projected brand lift of 18.66 points without significant audience mismatch or creative underperformance.,"The optimistic reach figure of 13,592,389 — representing approximately 80% of J Balvin's total tracked reach of 16,990,487 — is achievable within the USD 150,000 budget through media placement and organic amplification, without requiring additional paid spend beyond the reference budget.","At the USD 150,000 budget level, the base case projects a 1.86x ROI and USD 278,730 in revenue, representing a net gain of approximately USD 128,730 — a solid return that validates the partnership as commercially viable before any upside is factored in. The optimistic scenario is recommended here, projecting a 2.99x ROI, supported by J Balvin's cross_platform_score of 96.92 — one of the highest attainable — combined with a momentum_score of 25.19, indicating active audience engagement that amplifies campaign conversion across channels. With a risk_flag_score of 20.0, which falls below the high-risk threshold of 60, and a HIGH data confidence rating derived from historical campaign data, the elevated scenario is a defensible planning target rather than a speculative stretch.",low,ok,2026-07-16T06:36:11+00:00
ART_014,Omar Courtz,Beverages,150000,1.8317,2.6168,4.213,392520.0,9631.2,1494375,9.46,optimistic,"The optimistic scenario assumes Omar Courtz maintains his current cross-platform engagement rates across Instagram, TikTok, and YouTube throughout the campaign window, with no significant algorithmic suppression or follower churn affecting the projected 2,097,368 reach.","The projected 13,483.7 conversions depend on the beverage brand deploying campaign creatives that are culturally resonant with the US-Latin reggaeton/dembow audience and include clear, trackable calls-to-action (e.g., promo codes, landing pages) to sustain the implied 0.64% conversion rate against optimistic reach.","The 4.21x ROI projection assumes the USD 150,000 budget is fully deployed toward content production and paid amplification within the campaign flight period, with no material portion reallocated or withheld, and that historical revenue-per-conversion benchmarks from comparable beverage campaigns remain stable.","At a USD 150,000 budget, the base case projects a 2.62x ROI and USD 392,520 in revenue, representing a strong return profile for a beverage brand seeking efficient customer acquisition in the US-Latin market. The optimistic scenario is recommended here: with a 4.21x projected ROI and USD 631,950 in projected revenue, Omar Courtz's cross_platform_score of 91.54 and momentum_score of 24.98 together indicate both the audience breadth and upward trajectory needed to sustain above-baseline performance across channels. With a risk_flag_score of 0.0 and HIGH data confidence, this forecast carries no identified risk flags, and the underlying projections are grounded in verified historical campaign data.",none,ok,2026-07-16T06:36:11+00:00
ART_013,Quevedo,Tech,150000,1.1985,1.7122,2.7566,256830.0,6498.9,5684044,11.08,conservative,"Quevedo's cross-platform audience of approximately 9.97M remains stable and actively engaged throughout the campaign window, with no significant drop in follower count or platform algorithm changes affecting organic reach.",The historical conversion rate benchmark of 4.33% drawn from analogous Latin music x Tech brand campaigns reflects audience behavior that is sufficiently comparable to Quevedo's current fanbase demographics and purchase intent profile.,"The conservative reach estimate of 3.99M represents at minimum 40% of Quevedo's total addressable audience, implying that paid and organic content distribution in the MX primary market performs at or above the floor assumed by the CSIE model.","At the base case, a USD 150,000 investment in Quevedo projects a 1.71x ROI and USD 256,830 in revenue, representing a positive return but modest multiple for a brand operating at this budget tier. Despite that upside, the conservative scenario is recommended — projecting a 1.20x ROI and USD 179,775 in revenue — because while Quevedo's cross_platform_score of 93.65 is exceptional and his risk_flag_score of 0.0 presents no direct red flags, his momentum_score of 23.51 is low, signaling limited current audience growth velocity that warrants a cautious planning posture. The primary risk here is not artist conduct or brand safety, but forecast reliability: data_confidence is rated LOW, meaning the underlying historical data is thin, and actual campaign outcomes could deviate materially from any of these projections.",medium,ok,2026-07-16T06:36:11+00:00
ART_004,Karol G,Fashion,150000,1.2955,1.8506,2.9795,277590.0,7536.3,7073942,13.33,optimistic,"The optimistic reach of 9,928,340 is achievable only if campaign content is distributed across all major platforms where Karol G has active audiences (Instagram, TikTok, YouTube, Spotify), maintaining consistent cross-platform activation throughout the campaign flight.","The projected conversion rate of approximately 5.02% (historical baseline) sustaining into the optimistic scenario assumes the fashion brand's landing pages, product availability, and checkout experience are optimized to handle elevated traffic volumes generated by a high-reach Latin music audience.","The 18.66 brand lift points projected in the optimistic scenario assumes campaign creative is culturally aligned with Karol G's reggaeton/pop latino brand identity and resonates authentically with her core Colombian and pan-Latin demographic, consistent with past high-performing campaigns in this genre-brand category pairing.","At a USD 150,000 budget, the base case projects a 1.85x ROI with USD 277,590 in revenue, representing a net gain of approximately USD 127,590 and validating the partnership as a commercially sound investment under expected conditions. The optimistic scenario is recommended here, projecting a 2.98x ROI, driven by Karol G's momentum score of 23.47 and an exceptional cross-platform score of 98.27, both of which indicate high audience activation potential across channels and support above-baseline performance. With a risk_flag_score of 0.0 and HIGH data confidence, this forecast carries no material downside flags, and the projections are grounded in historical campaign data rather than modeled assumptions.",none,ok,2026-07-16T06:36:11+00:00
ART_002,Bad Bunny,Fashion,150000,1.2951,1.8502,2.9788,277530.0,7536.3,14469700,13.33,conservative,"The historical average conversion rate of 5.02% from comparable campaigns holds within ±20% for this artist-brand category pairing, meaning the fashion vertical performs consistently with prior reggaeton/trap partnership benchmarks.","The primary market (Colombia) audience remains actively engaged with Bad Bunny content during the campaign window, sustaining the reach multiplier that drives the 10.15M conservative reach estimate.","The USD 150,000 budget is deployed across the same channel mix and creative format distribution as the historical client campaigns used to compute the baseline avg_roi of 2.19x, without significant reallocation to unproven placements.","At a USD 150,000 budget, the base case projects a 1.85x ROI and USD 277,530 in revenue, representing a net return of approximately USD 127,530 and meaningful scale with 14.4M projected reach. Despite these attractive base figures, the conservative scenario is recommended — projecting a 1.30x ROI — because the artist's momentum_score of 23.36 is low, signaling limited current commercial acceleration, and while the cross_platform_score of 97.31 confirms broad platform presence, it cannot compensate for weak momentum in driving campaign conversion outcomes. Data confidence is rated LOW, meaning the underlying projections carry elevated model uncertainty and real-world results could diverge materially from any scenario; brands should treat the conservative case as the operational planning floor, not a guaranteed outcome.",medium,ok,2026-07-16T06:36:11+00:00
ART_007,Ryan Castro,Fashion,150000,1.2934,1.8477,2.9749,277155.0,7536.3,3138868,13.33,optimistic,"Ryan Castro's cross-platform audience engagement rates remain consistent with historical benchmarks during the campaign activation window, sustaining the 93.08 cross_platform_score that underpins the optimistic projection.","The fashion brand's conversion funnel can absorb and process up to 10,550 projected conversions — including adequate inventory, landing page capacity, and attribution tracking — to realize the full USD 446,235 revenue projection.","The primary market (Colombia, CO) maintains current consumer spending conditions and platform algorithm neutrality toward Ryan Castro's content, preserving the projected reach of 4,405,428 without significant organic suppression or market disruption.","At the base case, a USD 150,000 investment with Ryan Castro projects a 1.85x ROI and USD 277,155 in revenue, representing a net return of approximately USD 127,155 — a strong result for a fashion brand at this budget level. The optimistic scenario is recommended here, projecting a 2.97x ROI, driven by Ryan Castro's cross_platform_score of 93.08 and a momentum_score of 22.8, both of which indicate an artist with broad, accelerating audience engagement that meets the threshold criteria for the higher scenario. With a risk_flag_score of 0.0 and HIGH data confidence, this forecast carries no elevated risk flags, and the projections are grounded in historical campaign data with strong statistical reliability.",none,ok,2026-07-16T06:36:11+00:00
ART_001,Peso Pluma,Tech,150000,1.1954,1.7076,2.7493,256140.0,6498.9,23250079,11.08,optimistic,"Peso Pluma's current momentum_score of 22.39 remains stable or continues to grow throughout the campaign activation window, sustaining the algorithmic reach required to hit the optimistic projected reach of 32,631,691.","The brand's Tech category creative assets achieve conversion rates consistent with the historical baseline of 4.33%, enabling the optimistic projected 9,098 conversions from the activated audience segment.","Cross-platform distribution rights and content licensing are secured across all platforms contributing to the cross_platform_score of 96.92, ensuring full reach activation without platform-specific content restrictions in the MX primary market.","At a USD 150,000 budget, the base case projects a 1.71x ROI returning USD 256,140 in revenue — a meaningful positive return that exceeds the reference spend by over USD 106,000 and validates the partnership at this investment level. We recommend the optimistic scenario, which projects a 2.75x ROI, driven by Peso Pluma's exceptional cross_platform_score of 96.92 and a momentum_score of 22.39, both indicating sustained algorithmic amplification and audience engagement well above category norms. With a risk_flag_score of 0.0 and HIGH data confidence grounded in historical campaign data, this forecast carries no elevated risk flags — the optimistic scenario is a defensible upside target, not a speculative ceiling.",none,ok,2026-07-16T06:36:11+00:00
ART_010,El Bogueto,Tech,150000,1.1936,1.7051,2.7453,255765.0,6498.9,2470381,11.08,conservative,"El Bogueto's cross-platform audience of 4,334,002 total reach translates to at least 1,733,600 actively engaged users during the campaign window at a conservative reach capture rate.","The historical average conversion rate of 4.33% holds within the Tech brand category for El Bogueto's primary Argentina market audience, yielding at least 4,549 conversions under conservative conditions.",The low momentum score of 21.77 does not deteriorate further during the campaign period — a continued decline in artist momentum could compress reach and conversion figures below the conservative scenario floor.,"At the USD 150,000 reference budget, the base case projects a 1.71x ROI returning USD 255,765 in revenue — a viable but modest return that leaves limited margin for campaign underperformance. Despite these headline figures, the conservative scenario is recommended at a 1.19x ROI (USD 179,040 projected revenue), because El Bogueto's momentum score of 21.77 is low, indicating limited current growth trajectory that reduces confidence in achieving mid-range outcomes even given a strong cross-platform score of 90.77. The data confidence rating is LOW, meaning the underlying inputs carry meaningful uncertainty and projections should be treated as directional rather than reliable — brands should structure contractual protections and milestone-based spend release accordingly.",medium,ok,2026-07-16T06:36:11+00:00
ART_012,Blessd,Fashion,150000,1.2891,1.8416,2.9649,276240.0,7536.3,2727138,13.33,conservative,"The projected conversion rate of approximately 3.5% (conservative scenario) holds based on historical fashion-category campaign performance — if Blessd's audience skews younger or lower-income than prior benchmarks, actual conversions may fall short.","The conservative reach figure of 1,913,781 assumes that paid and organic amplification activates roughly 40% of Blessd's total addressable reach of 4,784,453 — this depends on platform algorithm behavior and content quality at time of execution.",A brand lift of 9.33 points in the conservative scenario assumes the campaign creative is culturally resonant with Blessd's Colombian-primary fanbase — misalignment between brand positioning and audience identity could significantly reduce lift.,"At a USD 150,000 budget, the base case projects a 1.84x ROI and USD 276,240 in revenue, representing a net gain of approximately USD 126,240 — a viable return for a fashion brand seeking incremental growth through a culturally embedded Latin music partnership. Despite this upside, the conservative scenario is recommended at a projected ROI of 1.29x and USD 193,365 in revenue, because while Blessd's cross_platform_score of 92.12 signals strong multi-channel presence, his momentum_score of 21.39 is relatively low, indicating limited current velocity and reducing confidence in achieving base-case conversion rates. Data confidence is rated LOW, meaning the historical comparables underpinning these projections are insufficiently robust to support a higher scenario target, and the brand should treat all figures as directional rather than predictive.",medium,ok,2026-07-16T06:36:11+00:00
ART_020,Herencia De Grandes,Beverages,150000,1.8154,2.5934,4.1753,389010.0,9631.2,3127094,9.46,conservative,"The projected 6,741.8 conversions in the conservative scenario assume a sustained conversion rate of approximately 6.42% drawn from historical baseline campaigns — if Herencia De Grandes' fanbase conversion behavior differs materially from the historical cohort average, actual conversions could undershoot this figure.","The conservative reach estimate of 2,194,452 assumes that paid and organic amplification performs at roughly 40% of total available audience reach (5,486,130), which depends on the brand executing standard activation tactics including social content, paid boosting, and live event integration.","The 6.62 projected brand lift points in the conservative scenario assume the beverage brand's category affinity with banda/norteño audiences in MX is at least average for the genre — if category-audience alignment is weaker than historical beverage campaign norms, brand lift outcomes may fall below this projection.","The base case projects a 2.59x ROI on a USD 150,000 investment, returning USD 389,010 in projected revenue — a meaningful but not exceptional return for a beverage brand at this budget level. Despite a strong cross_platform_score of 93.65 that signals broad audience distribution across platforms, the recommendation is conservative (1.82x ROI / USD 272,310 projected revenue) because the artist's momentum_score of 21.18 is low, indicating limited current growth velocity and reducing confidence that the optimistic or base assumptions will materialize. Data confidence is rated LOW, which means the underlying inputs carry meaningful uncertainty and a conservative planning posture is the appropriate commercial stance until higher-quality campaign data is available.",medium,ok,2026-07-16T06:36:11+00:00
